UniqueName,Index,EndUse,Group,Colloquial Name,Type,Family,Genus,Specific epithet,Sub species,Species name,Epithet and sub species,Typical Establish Stage,Typical Establish month,Typical Harvest Stage,Typical Harvest month,Typical Yield,Typical Yield Units,Yield type,Typical Population (/ha),TotalOrDry,Typical Dressing Loss %,Typical Field Loss %,Typical HI,HI Range,Moisture %,P Root,Max RD,A cover,rCover,Root [N],Stover [N],Product [N],TtEmerg,Tbase
Maturity harvest Potato Medium (Group2),105,Potato,Potato,Maturity harvest,Medium (Group2),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,60,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Moonlight,93,Potato,Potato,Maturity harvest,Moonlight,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Nadine,96,Potato,Potato,Maturity harvest,Nadine,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.7,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato RussetBurbank,99,Potato,Potato,Maturity harvest,RussetBurbank,Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,70,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.8,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Short (Group1),102,Potato,Potato,Maturity harvest,Short (Group1),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,50,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.6,1,1.2,0.9,1.15,1.8,0,5
Maturity harvest Potato Very Long (Group4),111,Potato,Potato,Maturity harvest,Very Long (Group4),Solanaceae,Solanum ,tuberosum,,Solanum  tuberosum ,tuberosum ,Seed,Oct,Maturity,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.92,0,79,0.1,0.9,1,1.2,0.9,1.15,1.8,0,5
Rape Seed General,27,Seed,Fodder,Rape,General,Brassicaceae,Brassica,napus,napus,Brassica napus napus,napus napus,Seed,Apr,LateReproductive,Feb,4,t/ha,Saleable seed ,1,Total,3,0,0.33,0.08,10,0.1,1.2,1,1.6,0.8,1.8,5,75,5
Cocksfoot Seed General,29,Seed,Forage,Cocksfoot,General,Poaceae ,Dactylus,glomerata,,Dactylus glomerata ,glomerata ,Seed,Feb,LateReproductive,Jan,1,t/ha,Saleable seed ,1,Total,10,0,0.09,0.03,15,0.1,1,1,0.8,0.9,1.2,2,150,0
Ryegrass Seed General,31,Seed,Forage,Ryegrass,General,Poaceae ,Lolium,perenne,,Lolium perenne ,perenne ,Seed,Apr,LateReproductive,Jan,2.07,t/ha,Saleable seed ,1,Total,15,0,0.15,0.05,14,0.1,0.9,1,1.5,0.9,0.9,1.9,0,0
Tall fescue Seed Turf,85,Seed,Forage,Tall fescue,Turf,Tall fescue Seed Turf,Poaceae,Festuca,arundinacea,x,Festuca arundinacea,Seed,May,LateReproductive,Jan,3.8,t/ha,Saleable seed,1,Total,15,0,0.25,0.1,14,0.1,0.9,1,0.7,0.9,1.5,2.5,100,0
White clover Seed General,33,Seed,Forage,White clover,General,Fabaceae ,Trifolium,repens,,Trifolium repens ,repens ,Seed,Mar,LateReproductive,Feb,0.6,t/ha,Saleable seed ,1,Total,20,0,0.15,0.09,14,0.1,0.9,1,0.6,1.5,4,3,150,5
Pumpkin Seed General,84,Seed,Fruit,Pumpkin,General,Cucurbitaceae,Cucurbita,pepo,,Cucurbita pepo ,pepo ,Seed,Oct,LateReproductive,Mar,0.8,t/ha,Saleable product ,1,Total,0,0,0.1,0,14,0.1,0.8,1,1,1,1.4,2,100,5
Carrot Seed General,30,Seed,Vegetable,Carrot,General,Apiaceae ,Daucus,carota,,Daucus carota ,carota ,Seed,Feb,LateReproductive,Feb,0.7,t/ha,Saleable seed ,1,Total,0,0,0.12,0.08,15,0.1,1.2,0.85,0.7,0.9,1.2,3.4,150,5
Pak choi Seed General,28,Seed,Vegetable,Pak choi,General,Brassicaceae,Brassica,rapa,chinensis,Brassica rapa chinensis,rapa chinensis,Seed,Sep,LateReproductive,Feb,1.3,t/ha,Saleable seed ,1,Total,0,0,0.245,0.14,8,0.1,1.2,0.85,1.5,0.8,1.1,3.2,150,5
Radish Seed Open pollinated,32,Seed,Vegetable,Radish,Open pollinated,Brassicaceae,Raphanus,raphanistrum,sativa,Raphanus raphanistrum sativa,raphanistrum sativa,Seed,Sep,LateReproductive,Feb,1.8,t/ha,Saleable seed ,1,Total,30,0,0.178,0.108,10,0.1,1.2,0.85,1.1,0.8,1.6,4.5,75,5
Red beet Seed General,26,Seed,Vegetable,Red beet,General,Amaranthaceae ,Beta,vulgaris,conditiva,Beta vulgaris conditiva,vulgaris conditiva,Seed,Apr,LateReproductive,Mar,1.2,t/ha,Saleable seed ,1,Total,15,0,0.17,0.07,15,0.1,1.5,0.85,0.8,0.8,1.8,2.1,100,5
TestResidue05,78,Testing,,,,,,,,,,Seed,Apr,Maturity,Feb,12,t/ha,Saleable grain ,1,Total,0,0,0.5,0,15,0.1,1.5,1,1,0.5,0.5,0.5,0,0
TestResidue10,79,Testing,,,,,,,,,,Seed,Apr,Maturity,Feb,12,t/ha,Saleable grain ,1,Total,0,0,0.5,0,15,0.1,1.5,1,1,1,1,1,0,0
TestResidue15,80,Testing,,,,,,,,,,Seed,Apr,Maturity,Feb,12,t/ha,Saleable grain ,1,Total,0,0,0.5,0,15,0.1,1.5,1,1,1.5,1.5,1.5,0,0
TestResidue30,81,Testing,,,,,,,,,,Seed,Apr,Maturity,Feb,12,t/ha,Saleable grain ,1,Total,0,0,0.5,0,15,0.1,1.5,1,1,3,3,3,0,0
TestResidue45,82,Testing,,,,,,,,,,Seed,Apr,Maturity,Feb,12,t/ha,Saleable grain ,1,Total,0,0,0.5,0,15,0.1,1.5,1,1,4.5,4.5,4.5,0,0
Pumpkin Vegetable General,55,Vegetable,Fruit,Pumpkin,General,Cucurbitaceae,Cucurbita,pepo,,Cucurbita pepo ,pepo ,Seed,Oct,LateReproductive,Mar,54,t/ha,Saleable product ,1,Total,0,0,0.8,.2,81,0.1,0.8,1,1,1,2.3,1.4,75,5
Rock melon Vegetable General,53,Vegetable,Fruit,Rock melon,General,Cucurbitaceae,Cucumis,melo,,Cucumis melo ,melo ,Seedling,Oct,LateReproductive,Feb,80,t/ha,Saleable product ,1,Total,0,0,0.7,.15,95,0.1,0.8,1,1,1,2,2,75,5
Squash Vegetable General,54,Vegetable,Fruit,Squash,General,Cucurbitaceae,Cucurbita,argyrosperma,,Cucurbita argyrosperma ,argyrosperma ,Seedling,Oct,Maturity,Mar,22,t/ha,Saleable product ,1,Total,0,0,0.69,.15,70,0.1,0.8,0.94,1,1,1.9,1.5,75,5
Sweetcorn Vegetable General,70,Vegetable,Fruit,Sweetcorn,General,Poaceae ,Zea,mays,,Zea mays ,mays ,Seed,Oct,MidReproductive,Feb,22,t/ha,Saleable product ,1,Total,0,0,0.48,.15,78,0.1,1.5,0.75,1,0.9,0.9,1.4,150,5
Tomato Vegetable General,67,Vegetable,Fruit,Tomato,General,Solanaceae,Solanum ,lycopersicum,,Solanum  lycopersicum ,lycopersicum ,Seedling,Oct,LateReproductive,Apr,100,t/ha,Saleable product ,1,Total,0,0,0.5,.15,95,0.1,0.6,1,1.2,0.9,2,2,150,5
Water melon Vegetable General,52,Vegetable,Fruit,Water melon,General,Cucurbitaceae,Cucumis,lanatus,,Cucumis lanatus ,lanatus ,Seedling,Oct,LateReproductive,Feb,120,t/ha,Saleable product ,1,Total,0,0,0.73,.18,93,0.1,0.8,1,1,1,1.9,1.4,75,5
Zucchini Vegetable General,56,Vegetable,Fruit,Zucchini,General,Cucurbitaceae,Cucurbita,pepo,,Cucurbita pepo ,pepo ,Seed,Oct,EarlyReproductive,Jan,40,t/ha,Saleable product ,1,Total,0,0,0.4,.1,95,0.1,0.8,0.85,1,1,3.8,3.2,75,5
Broccoli Vegetable Chinese cut,47,Vegetable,Green,Broccoli,Chinese cut,Brassicaceae,Brassica,oleracea,italica,Brassica oleracea italica,oleracea italica,Seedling,May,EarlyReproductive,Sep,0.5,kg/head,Saleable product ,50000,Total,0,0,0.5,.15,89,0.1,1.2,1,2,0.8,3,3.6,75,0
Broccoli Vegetable Head only,46,Vegetable,Green,Broccoli,Head only,Brassicaceae,Brassica,oleracea,italica,Brassica oleracea italica,oleracea italica,Seedling,May,EarlyReproductive,Sep,0.3,kg/head,Saleable product ,38000,Total,0,0,0.3,.15,89,0.1,1.2,0.9,2,0.8,3.2,4.6,75,0
Brussel sprout  Vegetable General,45,Vegetable,Green,Brussel sprout ,General,Brassicaceae,Brassica,oleracea,gemmifera,Brassica oleracea gemmifera,oleracea gemmifera,Seedling,Nov,EarlyReproductive,Jun,0.3,kg/head,Saleable product ,50000,Total,0,0,0.4,.1,80,0.1,1.2,1,2,0.8,3.8,2.6,75,5
Cabbage Vegetable General,44,Vegetable,Green,Cabbage,General,Brassicaceae,Brassica,oleracea,capitata,Brassica oleracea capitata,oleracea capitata,Seedling,Sep,Vegetative,Jan,1.6,kg/head,Saleable product ,39000,Total,0,0,0.46,.12,91,0.1,1.2,1,2,0.8,2.3,2.3,75,5
Cauliflower Vegetable General,43,Vegetable,Green,Cauliflower,General,Brassicaceae,Brassica,oleracea,botrytis,Brassica oleracea botrytis,oleracea botrytis,Seedling,Sep,EarlyReproductive,Jan,1.3,kg/head,Saleable product ,30000,Total,0,0,0.3,.15,92,0.1,1.2,1,2,0.8,3.8,4.1,75,0
Celery Vegetable General,40,Vegetable,Green,Celery,General,Apiaceae ,Apium,graveolens,,Apium graveolens ,graveolens ,Seedling,Oct,Vegetative,Jan,0.7,kg/head,Saleable product ,80000,Total,0,0,0.85,.2,88,0.1,1.2,1,0.8,0.9,2.5,2.5,150,5
Choy sum Vegetable General,49,Vegetable,Green,Choy sum,General,Brassicaceae,Brassica,rapa,parachinensis,Brassica rapa parachinensis,rapa parachinensis,Seedling,May,Vegetative,Sep,0.2,kg/head,Saleable product ,120000,Total,0,0,0.85,.2,90,0.1,1.2,0.9,2,0.8,4.5,4.8,75,5
Coriander Vegetable General,51,Vegetable,Green,Coriander,General,Apiaceae ,Coriandrum,sativum,,Coriandrum sativum ,sativum ,Seed,May,Vegetative,Sep,0.3,kg/head,Saleable product ,120000,Total,0,0,1,0,95,0.1,1.2,0.9,0.8,0.9,4.7,4.7,150,5
Leek Vegetable General,34,Vegetable,Green,Leek,General,Amaryllidaceae,Allium,ampeloprasum,,Allium ampeloprasum ,ampeloprasum ,Seedling,Nov,Vegetative,May,0.5,kg/head,Saleable product ,50000,Total,0,0,0.65,.15,89,0.1,0.6,0.75,0.6,1,2.7,2.7,400,5
Lettuce Vegetable Ice berg,61,Vegetable,Green,Lettuce,Ice berg,Asteraceae ,Lactuca,sativa,,Lactuca sativa ,sativa ,Seedling,Sep,Vegetative,Dec,0.9,kg/head,Saleable product ,70000,Total,0,0,0.42,.1,96,0.1,1,0.95,1,0.9,3.6,3.5,300,5
Lettuce Vegetable Leafy-salad,62,Vegetable,Green,Lettuce,Leafy-salad,Asteraceae ,Lactuca,sativa,,Lactuca sativa ,sativa ,Seedling,Sep,Vegetative,Dec,0.3,kg/head,Saleable product ,110000,Total,0,0,0.95,.05,95,0.1,1,0.9,1,0.9,1.9,4,50,5
Pak choi Vegetable General,48,Vegetable,Green,Pak choi,General,Brassicaceae,Brassica,rapa,chinensis,Brassica rapa chinensis,rapa chinensis,Seedling,May,Vegetative,Aug,0.08,kg/head,Saleable product ,500000,Total,0,0,0.7,.15,95,0.1,1.2,0.8,1.5,0.8,4.5,4.2,75,5
Parsley Vegetable General,83,Vegetable,Green,Parsley,General,Apiaceae,Petroselinum,crispum,,Petroselinum crispum,crispum,Seed,May,Vegetative,Sep,0.3,kg/head,Saleable product ,100000,Total,0,0,0.7,.15,92,0.1,1.5,0.8,1,0.8,4,4.5,150,5
Silver beet Vegetable General,41,Vegetable,Green,Silver beet,General,Amaranthaceae ,Beta,vulgaris,cicla,Beta vulgaris cicla,vulgaris cicla,Seedling,Nov,Vegetative,May,0.6,kg/head,Saleable product ,60000,Total,0,0,0.8,0.2,93,0.1,1.5,0.76,1,0.8,2.5,3,100,5
Spinach Vegetable General,68,Vegetable,Green,Spinach,General,Amaranthaceae ,Spinacia,loeracea,,Spinacia loeracea ,loeracea ,Seed,May,Vegetative,Sep,0.3,kg/head,Saleable product ,66000,Total,0,0,0.95,.05,92,0.1,1.5,0.8,1,0.8,4,4.5,100,5
Spring onion Vegetable General,38,Vegetable,Green,Spring onion,General,Amaryllidaceae,Allium,fistulosum,,Allium fistulosum ,fistulosum ,Seed,Feb,Vegetative,Sep,0.07,kg/head,Saleable product ,1400000,Total,0,0,1,0,90,0.1,0.6,0.75,0.6,1,1.9,1.9,400,5
Wong bok Vegetable General,50,Vegetable,Green,Wong bok,General,Brassicaceae,Brassica,rapa,pekinensis,Brassica rapa pekinensis,rapa pekinensis,Seedling,Dec,Vegetative,Jun,0.5,kg/head,Saleable product ,60000,Total,0,0,0.8,0.2,90,0.1,1.2,0.9,2,0.8,3,3,75,5
Bean Vegetable General,65,Vegetable,Pulse,Bean,General,Fabaceae ,Phaseolus,vulgaris,,Phaseolus vulgaris ,vulgaris ,Seed,Nov,EarlyReproductive,Mar,18,t/ha,Saleable product ,1,Total,0,0,0.44,0.07,89,0.1,1,0.9,1,1.5,2.5,2.8,150,5
Broad bean Vegetable General,69,Vegetable,Pulse,Broad bean,General,Fabaceae ,Vicia,faba,,Vicia faba ,faba ,Seed,May,EarlyReproductive,Nov,11,t/ha,Saleable product ,1,Total,0,0,0.3,0.05,76,0.1,1,0.9,1,1.5,1.7,4.4,75,0
Pea Vegetable General,66,Vegetable,Pulse,Pea,General,Fabaceae ,Pisum,sativum,,Pisum sativum ,sativum ,Seed,Aug,EarlyReproductive,Jan,10,t/ha,Saleable product ,1,Total,0,0,0.34,0.08,77,0.1,0.7,1,1,1.5,2.1,4,150,5
Carrot Vegetable Fresh,59,Vegetable,Root,Carrot,Fresh,Apiaceae ,Daucus,carota,,Daucus carota ,carota ,Seed,Oct,EarlyReproductive,Jun,100,t/ha,Saleable product ,1,Total,0,0,0.88,0.07,89,0.1,1.2,0.9,0.7,0.9,1.2,1.5,150,5
Carrot Vegetable Juicing,57,Vegetable,Root,Carrot,Juicing,Apiaceae ,Daucus,carota,,Daucus carota ,carota ,Seed,Oct,EarlyReproductive,Jun,130,t/ha,Saleable product ,1,Total,0,0,0.86,0.07,88,0.1,1.2,0.9,0.7,0.9,1,1.4,150,5
Carrot Vegetable Processing,58,Vegetable,Root,Carrot,Processing,Apiaceae ,Daucus,carota,,Daucus carota ,carota ,Seed,Oct,EarlyReproductive,Jun,100,t/ha,Saleable product ,1,Total,0,0,0.8,0.07,88,0.1,1.2,0.9,0.7,0.9,1.3,1.6,150,5
Garlic Vegetable General,39,Vegetable,Root,Garlic,General,Amaryllidaceae,Allium,sativum,,Allium sativum ,sativum ,Seed,Jun,Vegetative,Dec,50,t/ha,Saleable product ,1,Total,0,0,0.88,0.05,87,0.1,0.6,0.7,0.6,1,1.35,1.4,500,5
Kumara Vegetable General,60,Vegetable,Root,Kumara,General,Convolvulaceae,Ipomoea,batatas,,Ipomoea batatas ,batatas ,Seed,Oct,Maturity,May,20,t/ha,Saleable product ,1,Total,0,0,.6,0.05,77.4,0.1,0.9,1,1,1,2,1.8,150,5
Onion Vegetable Brown,35,Vegetable,Root,Onion,Brown,Amaryllidaceae,Allium,cepa,,Allium cepa ,cepa ,Seed,May,Maturity,Feb,65,t/ha,Saleable product ,1,Total,0,0,0.88,0.05,87,0.1,0.6,0.8,0.6,1,1.4,1.5,500,5
Onion Vegetable Red,36,Vegetable,Root,Onion,Red,Amaryllidaceae,Allium,cepa,,Allium cepa ,cepa ,Seed,May,LateReproductive,Apr,80,t/ha,Saleable product ,1,Total,0,0,0.88,0.05,87,0.1,0.6,0.8,0.6,1,1.4,1.5,500,5
Onion Vegetable Shallot,37,Vegetable,Root,Onion,Shallot,Amaryllidaceae,Allium,cepa,,Allium cepa ,cepa ,Seed,Apr,Vegetative,Dec,60,t/ha,Saleable product ,1,Total,0,0,0.88,0.05,87,0.1,0.6,0.8,0.6,1,1.4,1.5,500,5
Parsnip Vegetable General,64,Vegetable,Root,Parsnip,General,Apiaceae ,Pastinaca,sativa,,Pastinaca sativa ,sativa ,Seed,Sep,EarlyReproductive,May,44,t/ha,Saleable product ,1,Total,0,0,0.95,0.05,83,0.1,1.2,0.95,0.8,0.9,2,1.35,150,5
Red beet Vegetable General,42,Vegetable,Root,Red beet,General,Amaranthaceae ,Beta,vulgaris,conditiva,Beta vulgaris conditiva,vulgaris conditiva,Seed,Sep,EarlyReproductive,May,55,t/ha,Saleable product ,1,Total,0,0,0.815,0.055,86,0.1,1.5,0.95,0.8,0.8,2,1.5,100,5
